0 : 2176, 3752, 882, 4009, 2837, 190, 3615, 816, 1045, 1884
1 : 2781, 9574, 2492, 1322, 3136, 1038, 9564, 925, 3998, 2183
2 : 2707, 9938, 2698, 9972, 6995, 6801, 8906, 5232, 6162, 5199
3 : 9843, 9825, 9574, 9582, 4097, 9576, 9581, 272, 9575, 4096
4 : 4719, 5164, 1671, 1538, 5897, 4764, 4559, 358, 5775, 4622
5 : 1097, 1239, 4943, 3227, 804, 2607, 4060, 4443, 4246, 3112
6 : 2456, 3013, 1682, 8581, 2774, 3530, 924, 2732, 9701, 1916
7 : 5447, 5868, 3109, 5671, 4597, 7586, 2804, 9394, 2735, 6639
8 : 9628, 3382, 7828, 1098, 4391, 8518, 3912, 5002, 73, 8441
9 : 4764, 4719, 5609, 9013, 1538, 688, 7885, 7642, 1671, 7123
10 : 1218, 645, 693, 804, 496, 6946, 281, 4060, 8027, 4370
11 : 4697, 4762, 8566, 4726, 6489, 1359, 4640, 1526, 9095, 4739
12 : 2113, 130, 506, 128, 9692, 1362, 9581, 120, 2128, 483
13 : 3609, 9815, 9574, 1564, 9663, 924, 1531, 9860, 9602, 5623
14 : 797, 714, 69, 1019, 1881, 906, 2771, 4151, 7744, 3239
15 : 5326, 409, 3818, 9747, 1892, 2483, 5775, 5091, 3325, 2
16 : 3829, 9713, 9595, 8547, 2578, 319, 1517, 1986, 470, 262
17 : 4096, 3138, 1292, 9629, 9805, 133, 107, 1370, 1151, 1323
18 : 903, 872, 1791, 1638, 2393, 891, 1421, 307, 142, 116
19 : 1699, 9806, 9576, 107, 144, 2176, 4007, 122, 3137, 411
20 : 7462, 7217, 7027, 5557, 6757, 7419, 9067, 7931, 4760, 9311
21 : 4490, 4457, 9102, 4915, 8047, 9600, 8720, 5047, 4671, 9473
22 : 4957, 4784, 5408, 5525, 5718, 4679, 4739, 105, 5085, 5652
23 : 8335, 7905, 7123, 7849, 7817, 4724, 4476, 8145, 5208, 5758
24 : 4630, 4554, 4623, 652, 5302, 9208, 4915, 9792, 1010, 705
25 : 5300, 5947, 6422, 3011, 268, 8663, 3006, 153, 5407, 8912
